ID;Genus;Species;Family;Order;Class;Keyingpoint;Lifehistorypoint;Initials;Redlist;Team;Members;Quizpoint
1;Phalangium;opilio;Phalangiidae;Mejere;Spindlere;2;;SK;;4. Team Trehornet Skarnbasse;3;15
2;Pseudochorthippus ;parallelus;Acrididae;Retvinger;Insekter;2;1;CK;;;
3;Forficula ;auricularia;Forficulidae;ørentviste;Insekter;2;;ABB;;;
4;Chorthippus;brunneus;Acrididae;Retvinger;Insekter;2;1;ABB;;;
5;Adelphocoris;lineolatus;Miridae;Næbmunde;Insekter;2;1;ABB;;;
6;Polyommatus;icarus;Lycaenidae;Sommerfugle;Insekter;1;5;SK;;;
7;Poecilus;lepidus;Carabidae;Biller;Insekter;2;1;ABB;;;
8;Palomena ;prasina;Pentatomidae;Næbmunde;Insekter;1;1;CB;;;
9;Eupeodes;latifasciatus;Syrphidae;Tovinger;Insekter;2;;ABB;;;
10;Armadillidum;vulgare;Armadillidiidae;Tanglus;Storkrebs;2;;CK;;;
11;Tettigonia;viridissima;Tettigoniidae;Retvinger;Insekter;2;5;SK;;;
12;Macrothylacia;rubi;Lasiocampidae;Sommerfugle;Insekter;1;1;SK;;;
13;Coccinella;septempunctata;Coccinellidae;Biller;Insekter;2;;SK;;;
14;Polydesmus;inconstans;Polydesmidae;Polydesmida;ægte tusindben;3;;CB;;;
15;Adscita ;statices;Zygaenidae;Sommerfugle;Insekter;1;6;SK;;;
16;Formica;truncorum;Formicidae;Årevinger;Insekter;2;;ABB;;;
17;Boloria ;aquilonaris;Nymphalidae;Sommerfugle;Insekter;0;;ABB;2;;
18;Formica;fusca;Formicidae;Årevinger;Insekter;2;10;ABB;;;
19;Mecostethus;grossus;Acrididae;Retvinger;Insekter;2;1;SK;2;;
20;Pterostichus;niger;Carabidae;Biller;Insekter;2;1;ABB;;;
21;Harpalus;rufipes;Carabidae;Biller;Insekter;2;1;ABB;;;
22;Orthetrum;cancellatum;Libellulidae;Guldsmede;Insekter;1;;CK;;;
23;Anoplotrupes;stercorosus;Geotrupidae;Biller;Insekter;2;;ABB;;;
24;agelena;labyrinthica;Agelenidae;Edderkopper;Spindlere;3;;SK;;;
25;Pisaura;Mirabilis;Pisauridae;Edderkopper;Spindlere;3;1;SK;;;
26;Trochosa;ruricola;Lycosidae;Edderkopper;Spindlere;3;1;SK;;;
27;Phalera;bucephala;Notodontidae;Sommerfugle;Insekter;0;6;CB;;;
28;Myrmica;sabuleti;Formicidae;Årevinger;Insekter;2;;ABB;;;
29;Polydesmus;sp. ;Polydesmidae;Polydesmida;ægte tusindben;2;;CK;;;
30;Lasius;niger;Formicidae;Årevinger;Insekter;2;;ABB;;;
31;Ixodes;sp. ;Ixodidae;blodmider;Spindlere;1;;ABB;;;
32;Geometra;papilionaria;Geometridae;Sommerfugle;Insekter;1;;CK;;;
33;Eurygaster;testudinaria;Scutelleridae;Næbmunde;Insekter;1;1;SK;;;
34;Aglais;io;Nymphalidae;Sommerfugle;Insekter;1;;ABB;;;
35;Cylindroiulus;sp.;Julidae;Julida;ægte tusindben;2;;ABB;;;
36;Chrysoperla;carnea;Chrysopidae;Netvinger;Insekter;2;;SK;;;
37;Psyllobora;vigintiduopunctata;Coccinellidae;Biller;Insekter;1;;SK;;;
38;Amara;sp.;Carabidae;Biller;Insekter;2;;ABB;;;
39;Calathus;rotundichollis;Carabidae;Biller;Insekter;2;;ABB;;;
40;Argiope;bruennichi;Araneidae;Edderkopper;Spindlere;3;10;SK;;;
41;Pardosa;lugubris;Lycosidae;Edderkopper;Spindlere;3;1;SK;;;
42;Eupeodes;corollae;Syrphidae;Tovinger;Insekter;2;;CB;;;
43;Calathus;fuscipes;Carabidae;Biller;insekter;2;1;ABB;;;
44;Gonepteryx;rhamni;Pieridae;Sommerfugle;Insekter;1;6;ABB;;;
45;Lithobius;forficatus;Lithobiidae;Lithobiomorpha;Skolopendre;2;;CB;;;
46;Panorpa;communis;Panorpidae;Skorpionsfluer;Insekter;1;;SK;;;
47;Rhagonycha;fulva;Cantharidae;Biller;Insekter;2;;ABB;;;
48;Oniscus ;asellus;Oniscidae;Tanglus;Storkrebs;1;;SK;;;
49;Allajulus;nitidus;Julidae;Julida;ægte tusindben;2;;ABB;;;
50;Polydesmus;complanatus;Polydesmidae;Polydesmida;ægte tusindben;2;;ABB;;;
51;Pieris;napi;Pieridae;Sommerfugle;Insekter;1;5;ABB;;;
52;Pardosa;sp.;lycosidae;Edderkopper;Spindlere;2;;SK;;;
53;Diaea;dorsata;Thomisidae;Edderkopper;Spindlere;2;;SK;;;
