ID;Genus;Species;Family;Order;Class;Keyingpoint;Lifehistorypoint;Initials;Redlist;Dansk navn;Team;Members;Quizpoint
1;S.P;Chorthippus brunneus;Acrididae;Orthoptera;Insecta;2;1;CK;0;Markgræshoppe (tre mulige arter);1. Team Ho 1, 2;4;12
2;Chorthippus;Chorthippus brunneus;Acrididae;Orthoptera;Insecta;1;1;CK;0;Almindelig markgræshoppe
3;Mecostethus;Mecostethus grossus;Acrididae;Orthoptera;Insecta;1;1;ABB;2;Sumpgræshoppe
4;Omocestus;Omocestus viridulus;Acrididae;Orthoptera;Insecta;2;1;CK;0;Lynggræshoppe
5;Chorthippus;Chorthippus biguttulus;Acrididae;Orthoptera;Insecta;2;1;HK;0;Syngende markgræshoppe
6;Omocestus;Omocestus haemorrhoidalis;Acrididae;Orthoptera;Insecta;2;1;CK;3;Lille lynggræshoppe
7;Neoscona;Neoscona adianta;Araneidae;Araneae;Arachnida;1;0;CK;0;Klithjulspinder
8;Armadillidium;Armadillidium vulgare;Armadillidiidae;Isopoda;Malacostraca;1;0;CK;0;Almindelig kuglebænkebider
9;Dysmachus;Dysmachus trigonus;Asilidae;Diptera;Insecta;1;0;CK;0;Hvid skægrovflue
10;Leptogaster;Leptogaster cylindrica;Asilidae;Diptera;Insecta;1;;CK;0;Lang græsrovflue
11;Calliphora;Calliphora vicina;Calliphoridae;Diptera;Insecta;1;0;CK;0;Spyflue
12;Nebria;Nebria bevicollis;Carabidae;Coleoptera;Insecta;2;0;CK;0;Skovfladløber
13;Harpules;Harpules rufipes;Carabidae;Coleoptera;Insecta;1;0;CK;0;Håret markløber
14;Abax;Abax parallelepipedus;Carabidae;Coleoptera;Insecta;1;0;CK;0;Bred muldløber larve
15;Pterostichus;Pterostichus niger;Carabidae;Coleoptera;Insecta;2;0;MDD;0;Skovjordløber
16;Rhagonycha;Rhagonycha fulva;Chantharidae;Coleoptera;Insecta;1;0;CK;0;Præstebille
17;Chironomidae;Chironomidae indet;Chironomidae;Diptera;Insecta;2;0;CK;0;Dansemyg 
18;Chrysolina;Chrysolina fastuosa;Chrysomelidae;Coleoptera;Insecta;1;0;CK;0;Tvetandbladbille
19;Cicadella;Cicadella viridis;Cicadellidae;Hemiptera;Insecta;1;0;CK;0;Grøn Sumpcikade
20;Coccinella;Coccinella septempunctata;Coccinellidae;Coleoptera;Insecta;1;0;CK;0;Syvplettet mariehøne
21;Psyllobora;Psyllobora Vigintiduopunctata;Coccinellidae;Coleoptera;Insecta;1;0;CK;0;Toogtyveplettet Mariehøne
22;Propylea;Propylea quatuordecimpunctata;Coccinellidae;Coleoptera;Insecta;1;0;ABB;0;Skakbræt (mariehøne)
23;Tytthaspis;Tytthaspis sedecimpunctata;Coccinellidae;Coleoptera;Insecta;1;0;CK;0;Sekstenprikket Mariehøne
24;Calvia;Calvia quatuordecimguttata;Coccinellidae;Coleoptera;Insecta;2;0;CB;0;Fjortenplettet Mariehøne 
25;Cocinellea;Cocinellea magnifica;Coccinellidae;Coleoptera;Insecta;1;5;CK;0;Myremariehøne
26;Anthonomus ;Anthonomus rubi;Curculionidae ;Coleoptera;Insecta;1;0;CK;0;Hindbær snudebille
27;Arctia;Arctia caja;Erebidae;Lepidoptera;Insecta;1;5;CK;0;Brun Bjørnespinder
28;Forficula;Forficula auricularia;Forficulidae;Dermaptera;Insecta;1;0;CK;0;Almindelig Ørentvist
29;Forficula;Forficula auricularia;Forficulidae;Dermaptera;Insecta;1;0;CK;0;Ørentviste
30;Lasius;Lasius fuliginosus;Formicidae;Hymenoptera;Insecta;1;5;CK;0;Orangemyre
31;Formica;Formica polyctena;Formicidae;Hymenoptera;Insecta;1;0;CK;0;Lille skovmyre
32;Lasius;Lasius niger;Formicidae;Hymenoptera;Insecta;1;0;CK;0;Sort havemyre
33;Lasius;Lasius psammoplilus;Formicidae;Hymenoptera;Hexapoda;1;5;CK;0;Sandjordsmyre
34;Lythria;Lythria cruentaria;Geometridae;Lepidoptera;Insecta;1;0;CK;0;Purpurmåler
35;Anoplotrupes;Anoplotrupes stercorosus;Geotrupidae;Coleoptera;Insecta;1;0;CK;0;Skovskarnbasse
36;Ochlodes;Ochlodes sylvanus;Hesperiidae;Lepidoptera;Insecta;1;5;CK;0;Stor Bredpande 
37;SP;Mide SP;Incertae sedis;Acari;Arachnida;2;0;CK;0;Mide SP
38;Ixodes;Ixodes ricinus;Ixodidae;Acari;Arachnida;1;5;CK;0;Skovflåt
39;Polymmatus;Polymmatus icarus;Lycaenidae;Lepidoptera;Insecta;1;0;SK;0;Almindelig blåfugl
40;Calocoris;Calocoris roseomaculatus;Miridae;Hemiptera;Insecta;1;1;CK;0;Rølliketæge
41;Notostira;Notostira elongata;Miridae;Hemiptera;Insecta;1;1;CK;0;Tofaset Græstæge
42;Polymerus ;Polymerus brevicornis;Miridae;Hemiptera;Insecta;1;0;CK;0;-
43;Leptopterna;Leptopterna ferrugata;Miridae;Hemiptera;Insecta;1;1;CK;0;Rødbrun Græstæge
44;Muscidae;Muscidae sp. ;Muscidae;Diptera;Insecta;2;0;CK;0;Egentlige fluer (familie)
45;Maniola;Maniola jurtina;Nymphalidae;Lepidoptera;Insecta;1;0;CK;0;Græsrandøje
46;Boloria;Boloria aquilonaris;Nymphalidae;Lepidoptera;Insecta;0;5;CK;2;Moseperlemorssommerfugl
47;Coenonympha;Coenonympha pamphilus;Nymphalidae;Lepidoptera;Insecta;1;5;SK;0;Okkergul randøje 
48;Oniscus;Oniscus asellus;Oniscidae;Isopoda;Malacostraca;1;0;CK;0;Glat bænkebidder
49;Aelia;Aelia klugii;Pentatomidae;Hemiptera;Insecta;1;1;CK;0;Lille bispetæge
50;Peribalus;Peribalus strictus;Pentatomidae;Hemiptera;Insecta;1;1;CK;0;Lille Bærtæge
51;Palomena;Palomena prasina;Pentatomidae;Hemiptera;Insecta;1;1;CK;0;Grøn Bredtæge
52;Graphosoma;Graphosoma italicum;Pentatomidae;Hemiptera;Insecta;1;0;CK;0;Stribetæge
53;Aelia;Aelia acuminata;Pentatomidae;Hemiptera;Insecta;1;1;CK;0;Almindelig bispetæge
54;Rhacognathus ;Rhagognathus punctatus ;Pentatomidae;Hemiptera;Insecta;1;5;CK;0;Mosebredtæge
55;Pieris;Pieris napi;Pieridae;Lepidoptera;Insecta;1;0;CK;0;Grønåret kålsommerfugl
56;Polydesmus;Polydesmus denticulatus;Polydesmidae;Polydesmida;Diplopoda;1;0;CK;0;Polydesmus denticulatus (intet dansk navn)
57;Eurygaster;Eurygaster testudinara;Scutelleridae;Hemiptera;Insecta;1;0;CK;0;Starskjoldtæge
58;Syrphus;Syrphus ribesii;Syrphidae;Diptera;Insecta;1;0;CK;0;Almindelig havesvirreflue
59;Tettigonia;Tettigonia viridissima;Tettigoniidae;Orthoptera;Insecta;1;5;CK;0;Stor grøn løvgræshoppe
60;Adscita;Adscita statices;Zygaenidae;Lepidoptera;Insecta;1;0;CK;0;Grøn køllesværmer
61;;;;;;;;;;
62;;;;;;;;;;
63;;;;;;;;;;
64;;;;;;;;;;
65;;;;;;;;;;
66;;;;;;;;;;
67;;;;;;;;;;
68;;;;;;;;;;
69;;;;;;;;;;
70;;;;;;;;;;
71;;;;;;;;;;
72;;;;;;;;;;
73;;;;;;;;;;
74;;;;;;;;;;
75;;;;;;;;;;
76;;;;;;;;;;
77;;;;;;;;;;
78;;;;;;;;;;
79;;;;;;;;;;
80;;;;;;;;;;
81;;;;;;;;;;
82;;;;;;;;;;
83;;;;;;;;;;
84;;;;;;;;;;
85;;;;;;;;;;
86;;;;;;;;;;
87;;;;;;;;;;
88;;;;;;;;;;
89;;;;;;;;;;
90;;;;;;;;;;
91;;;;;;;;;;
92;;;;;;;;;;
93;;;;;;;;;;
94;;;;;;;;;;
95;;;;;;;;;;
96;;;;;;;;;;
97;;;;;;;;;;
98;;;;;;;;;;
99;;;;;;;;;;
100;;;;;;;;;;
101;;;;;;;;;;
102;;;;;;;;;;
103;;;;;;;;;;
104;;;;;;;;;;
105;;;;;;;;;;
106;;;;;;;;;;
107;;;;;;;;;;
108;;;;;;;;;;
109;;;;;;;;;;
110;;;;;;;;;;
111;;;;;;;;;;
112;;;;;;;;;;
113;;;;;;;;;;
114;;;;;;;;;;
115;;;;;;;;;;
116;;;;;;;;;;
117;;;;;;;;;;
118;;;;;;;;;;
119;;;;;;;;;;
120;;;;;;;;;;
121;;;;;;;;;;
122;;;;;;;;;;
123;;;;;;;;;;
124;;;;;;;;;;
125;;;;;;;;;;
126;;;;;;;;;;
127;;;;;;;;;;
128;;;;;;;;;;
129;;;;;;;;;;
130;;;;;;;;;;
131;;;;;;;;;;
132;;;;;;;;;;
133;;;;;;;;;;
134;;;;;;;;;;
135;;;;;;;;;;
136;;;;;;;;;;
137;;;;;;;;;;
138;;;;;;;;;;
139;;;;;;;;;;
140;;;;;;;;;;
141;;;;;;;;;;
142;;;;;;;;;;
143;;;;;;;;;;
144;;;;;;;;;;
145;;;;;;;;;;
146;;;;;;;;;;
147;;;;;;;;;;
148;;;;;;;;;;
149;;;;;;;;;;
150;;;;;;;;;;
151;;;;;;;;;;
152;;;;;;;;;;
153;;;;;;;;;;
154;;;;;;;;;;
155;;;;;;;;;;
156;;;;;;;;;;
157;;;;;;;;;;
158;;;;;;;;;;
159;;;;;;;;;;
160;;;;;;;;;;
161;;;;;;;;;;
162;;;;;;;;;;
163;;;;;;;;;;
164;;;;;;;;;;
165;;;;;;;;;;
166;;;;;;;;;;
167;;;;;;;;;;
168;;;;;;;;;;
169;;;;;;;;;;
170;;;;;;;;;;
171;;;;;;;;;;
172;;;;;;;;;;
173;;;;;;;;;;
174;;;;;;;;;;
175;;;;;;;;;;
176;;;;;;;;;;
177;;;;;;;;;;
178;;;;;;;;;;
179;;;;;;;;;;
180;;;;;;;;;;
181;;;;;;;;;;
182;;;;;;;;;;
183;;;;;;;;;;
184;;;;;;;;;;
185;;;;;;;;;;
186;;;;;;;;;;
187;;;;;;;;;;
188;;;;;;;;;;
189;;;;;;;;;;
190;;;;;;;;;;
191;;;;;;;;;;
192;;;;;;;;;;
193;;;;;;;;;;
194;;;;;;;;;;
195;;;;;;;;;;
196;;;;;;;;;;
197;;;;;;;;;;
198;;;;;;;;;;
199;;;;;;;;;;
200;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
